Name,Email,9am-10am,10am-11am,11am-12pm,12pm-1pm,1pm-2pm,2pm-3pm,3pm-4pm,4pm-5pm,Work Preference,Assignment Start Time,Time Commitment,Team Role Preference,Team Experience,Communication Method,Class Goals,Strengths,Weaknesses
Student 69,student69@example.com,Tue,,Wed,"Wed, Fri",,"Mon, Tue",,"Wed, Fri",Prefer structured work schedules with clear deadlines,Prefer starting well in advance to stay on top of tasks,"Can dedicate 10-12 hours weekly, balancing with other classes",Enjoy problem-solving and brainstorming solutions,Have collaborated on technical projects but not much leadership,Prefer quick updates via text or messaging apps,Hoping to gain leadership and organizational experience,Organized and great at planning ahead,Sometimes struggle with public speaking
Student 70,student70@example.com,"Wed, Thu",,,Fri,,Fri,,Mon,Prefer working remotely with flexible hours,Prefer starting well in advance to stay on top of tasks,"Can dedicate 10-12 hours weekly, balancing with other classes",Like taking initiative and leading discussions,This is my first time working in a structured team,Flexible with any communication method,Hope to develop problem-solving skills,Good at debugging and troubleshooting technical issues,Procrastinate when tasks seem overwhelming
Student 71,student71@example.com,,Fri,"Thu, Mon, Fri",,"Fri, Thu, Mon","Mon, Fri, Thu",,"Tue, Wed, Fri",Enjoy in-person meetings but open to remote work,Prefer collaborating with team members close to deadlines,Can commit up to 15 hours per week if needed,Prefer organizing tasks and keeping things on track,This is my first time working in a structured team,Prefer structured emails over informal chats,Want to learn how to manage time and deadlines better,Strong at explaining concepts and teaching others,Procrastinate when tasks seem overwhelming
Student 72,student72@example.com,Thu,,Tue,Fri,,"Tue, Fri, Thu",,Thu,"No strong preference, just want a productive team",Prefer collaborating with team members close to deadlines,"Can dedicate 10-12 hours weekly, balancing with other classes",Like taking initiative and leading discussions,"I’ve worked on group projects before, but want to improve",Flexible with any communication method,Looking to build a strong portfolio from this project,Organized and great at planning ahead,"Need to improve on giving clear, concise updates to team"
Student 73,student73@example.com,,"Tue, Mon, Fri",,"Thu, Wed",,,,,"No strong preference, just want a productive team",Usually work best under last-minute pressure,Available on weekends and some evenings,Enjoy problem-solving and brainstorming solutions,This is my first time working in a structured team,Like using Discord or Slack for team discussions,Want to learn how to manage time and deadlines better,Strong at explaining concepts and teaching others,Can get stuck in small details and overanalyze
Student 74,student74@example.com,,,,,"Tue, Fri",Thu,Tue,,Enjoy in-person meetings but open to remote work,Usually work best under last-minute pressure,Can commit up to 15 hours per week if needed,Prefer hands-on work rather than managing logistics,This is my first time working in a structured team,Prefer quick updates via text or messaging apps,Hoping to gain leadership and organizational experience,Quick learner and adaptable to new challenges,Tend to take on too many responsibilities at once
Student 75,student75@example.com,,,,Tue,,,,"Tue, Wed",Would like a mix of remote and in-person meetings,Prefer collaborating with team members close to deadlines,Can commit up to 15 hours per week if needed,Like taking initiative and leading discussions,Enjoy teamwork but prefer individual contributions,Enjoy regular video calls for better coordination,Hope to develop problem-solving skills,Good at motivating teammates and keeping up morale,Can get stuck in small details and overanalyze
Student 76,student76@example.com,,,"Fri, Mon, Wed","Wed, Fri, Tue",Mon,,,,Prefer structured work schedules with clear deadlines,Flexible depending on the workload,Can commit up to 15 hours per week if needed,Enjoy problem-solving and brainstorming solutions,This is my first time working in a structured team,Like using Discord or Slack for team discussions,Hope to develop problem-solving skills,Strong at explaining concepts and teaching others,Can get stuck in small details and overanalyze
Student 77,student77@example.com,"Thu, Mon",Mon,"Thu, Mon, Wed",Thu,Fri,"Mon, Wed, Fri",,,Prefer structured work schedules with clear deadlines,Flexible depending on the workload,Can commit up to 15 hours per week if needed,Flexible and willing to adapt based on team needs,Have collaborated on technical projects but not much leadership,Like using Discord or Slack for team discussions,Want to learn how to manage time and deadlines better,Quick learner and adaptable to new challenges,Can get stuck in small details and overanalyze
Student 78,student78@example.com,,,"Thu, Tue, Fri","Wed, Tue, Mon",Tue,,Fri,,Prefer structured work schedules with clear deadlines,Like to plan out tasks a week ahead,Prefer to work efficiently in fewer hours,Like taking initiative and leading discussions,Have collaborated on technical projects but not much leadership,Flexible with any communication method,Want to learn how to manage time and deadlines better,Organized and great at planning ahead,"Need to improve on giving clear, concise updates to team"
Student 79,student79@example.com,Fri,"Fri, Tue","Tue, Fri",,"Wed, Mon",,Mon,,Would like a mix of remote and in-person meetings,Flexible depending on the workload,Available on weekends and some evenings,Flexible and willing to adapt based on team needs,"I’ve worked on group projects before, but want to improve",Enjoy regular video calls for better coordination,Want to learn how to manage time and deadlines better,Strong at explaining concepts and teaching others,Procrastinate when tasks seem overwhelming
Student 80,student80@example.com,Tue,Fri,,"Thu, Mon",Wed,Fri,Fri,"Mon, Fri",Prefer structured work schedules with clear deadlines,Prefer collaborating with team members close to deadlines,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer organizing tasks and keeping things on track,Have collaborated on technical projects but not much leadership,Enjoy regular video calls for better coordination,Looking to build a strong portfolio from this project,Good at debugging and troubleshooting technical issues,Procrastinate when tasks seem overwhelming
Student 81,student81@example.com,,Mon,,"Wed, Thu, Fri","Thu, Tue",,,"Fri, Mon, Thu","No strong preference, just want a productive team",Prefer collaborating with team members close to deadlines,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer organizing tasks and keeping things on track,"I’ve worked on group projects before, but want to improve",Like using Discord or Slack for team discussions,Looking to build a strong portfolio from this project,Quick learner and adaptable to new challenges,"Need to improve on giving clear, concise updates to team"
Student 82,student82@example.com,"Tue, Thu, Wed",,,Wed,,"Thu, Fri",,"Tue, Fri",Prefer working remotely with flexible hours,Prefer starting well in advance to stay on top of tasks,Around 5-10 hours per week depending on workload,Flexible and willing to adapt based on team needs,Enjoy teamwork but prefer individual contributions,Prefer structured emails over informal chats,Want to gain practical experience working in a team,Strong at explaining concepts and teaching others,Sometimes struggle with public speaking
Student 83,student83@example.com,Fri,"Tue, Fri, Wed",Mon,,"Wed, Tue","Thu, Fri, Wed",,,"No strong preference, just want a productive team",Flexible depending on the workload,Can commit up to 15 hours per week if needed,Prefer organizing tasks and keeping things on track,I have experience leading teams and organizing tasks,Like using Discord or Slack for team discussions,Hoping to gain leadership and organizational experience,Quick learner and adaptable to new challenges,Tend to take on too many responsibilities at once
Student 84,student84@example.com,"Fri, Thu, Tue","Tue, Wed, Thu","Tue, Thu, Fri",,"Mon, Thu, Fri","Wed, Thu",,"Fri, Mon",Would like a mix of remote and in-person meetings,Prefer starting well in advance to stay on top of tasks,Prefer to work efficiently in fewer hours,Flexible and willing to adapt based on team needs,This is my first time working in a structured team,Like using Discord or Slack for team discussions,Hope to develop problem-solving skills,Quick learner and adaptable to new challenges,Sometimes struggle with public speaking
Student 85,student85@example.com,,"Thu, Mon, Fri","Tue, Wed, Mon","Thu, Fri, Mon",,"Fri, Mon","Wed, Mon, Fri","Mon, Fri",Would like a mix of remote and in-person meetings,Usually work best under last-minute pressure,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer organizing tasks and keeping things on track,I have experience leading teams and organizing tasks,Flexible with any communication method,Looking to build a strong portfolio from this project,Good at debugging and troubleshooting technical issues,Tend to take on too many responsibilities at once
Student 86,student86@example.com,"Mon, Wed, Thu","Fri, Thu, Tue",Mon,,,"Thu, Fri",Thu,"Wed, Fri",Enjoy in-person meetings but open to remote work,Like to plan out tasks a week ahead,Available on weekends and some evenings,Enjoy problem-solving and brainstorming solutions,This is my first time working in a structured team,Enjoy regular video calls for better coordination,Want to gain practical experience working in a team,Strong at explaining concepts and teaching others,Can get stuck in small details and overanalyze
Student 87,student87@example.com,Thu,Thu,"Wed, Thu, Fri",,Tue,,"Wed, Mon, Thu",,Prefer structured work schedules with clear deadlines,Usually work best under last-minute pressure,Can commit up to 15 hours per week if needed,Prefer organizing tasks and keeping things on track,I have experience leading teams and organizing tasks,Enjoy regular video calls for better coordination,Looking to build a strong portfolio from this project,Good at debugging and troubleshooting technical issues,Sometimes struggle with public speaking
Student 88,student88@example.com,"Thu, Mon, Fri","Mon, Thu, Tue",,,"Mon, Thu, Fri","Fri, Tue, Wed",,,Would like a mix of remote and in-person meetings,Prefer starting well in advance to stay on top of tasks,"Can dedicate 10-12 hours weekly, balancing with other classes",Enjoy problem-solving and brainstorming solutions,"I’ve worked on group projects before, but want to improve",Prefer quick updates via text or messaging apps,Looking to build a strong portfolio from this project,Quick learner and adaptable to new challenges,"Need to improve on giving clear, concise updates to team"
Student 89,student89@example.com,Wed,,,,"Wed, Thu, Mon",,,Tue,Would like a mix of remote and in-person meetings,Prefer starting well in advance to stay on top of tasks,Prefer to work efficiently in fewer hours,Like taking initiative and leading discussions,I have experience leading teams and organizing tasks,Like using Discord or Slack for team discussions,Looking to build a strong portfolio from this project,Good at motivating teammates and keeping up morale,Procrastinate when tasks seem overwhelming
Student 90,student90@example.com,"Wed, Thu, Mon",,,Mon,,Tue,,"Fri, Tue, Thu","No strong preference, just want a productive team",Like to plan out tasks a week ahead,Available on weekends and some evenings,Like taking initiative and leading discussions,This is my first time working in a structured team,Enjoy regular video calls for better coordination,Want to gain practical experience working in a team,Good at debugging and troubleshooting technical issues,Tend to take on too many responsibilities at once
Student 91,student91@example.com,"Tue, Thu, Mon",,"Fri, Tue, Mon","Mon, Fri",,"Wed, Mon, Thu","Mon, Thu",,Would like a mix of remote and in-person meetings,Usually work best under last-minute pressure,Can commit up to 15 hours per week if needed,Enjoy problem-solving and brainstorming solutions,I have experience leading teams and organizing tasks,Prefer structured emails over informal chats,Want to gain practical experience working in a team,Organized and great at planning ahead,Tend to take on too many responsibilities at once
Student 92,student92@example.com,"Fri, Mon","Mon, Thu",,"Mon, Thu, Tue","Mon, Wed, Fri","Tue, Mon",,"Mon, Tue, Fri",Enjoy in-person meetings but open to remote work,Usually work best under last-minute pressure,Around 5-10 hours per week depending on workload,Like taking initiative and leading discussions,Have collaborated on technical projects but not much leadership,Enjoy regular video calls for better coordination,Hope to develop problem-solving skills,Strong at explaining concepts and teaching others,"Need to improve on giving clear, concise updates to team"
Student 93,student93@example.com,"Fri, Mon",,,"Wed, Tue","Fri, Wed, Tue",Tue,Wed,,Prefer structured work schedules with clear deadlines,Prefer starting well in advance to stay on top of tasks,Prefer to work efficiently in fewer hours,Enjoy problem-solving and brainstorming solutions,Have collaborated on technical projects but not much leadership,Prefer quick updates via text or messaging apps,Hoping to gain leadership and organizational experience,Good at motivating teammates and keeping up morale,"Need to improve on giving clear, concise updates to team"
Student 94,student94@example.com,,"Fri, Thu, Mon","Tue, Wed",,"Mon, Tue, Fri",,,Fri,Enjoy in-person meetings but open to remote work,Flexible depending on the workload,Around 5-10 hours per week depending on workload,Like taking initiative and leading discussions,Enjoy teamwork but prefer individual contributions,Prefer quick updates via text or messaging apps,Hope to develop problem-solving skills,Good at debugging and troubleshooting technical issues,Procrastinate when tasks seem overwhelming
Student 95,student95@example.com,Fri,"Tue, Wed","Thu, Wed",Wed,"Wed, Mon",,Mon,Thu,Enjoy in-person meetings but open to remote work,Like to plan out tasks a week ahead,Available on weekends and some evenings,Prefer organizing tasks and keeping things on track,Enjoy teamwork but prefer individual contributions,Flexible with any communication method,Want to gain practical experience working in a team,Quick learner and adaptable to new challenges,Procrastinate when tasks seem overwhelming
Student 96,student96@example.com,"Fri, Tue, Thu","Thu, Mon","Fri, Thu","Fri, Thu, Wed",Tue,Thu,"Tue, Mon, Wed",Tue,Prefer structured work schedules with clear deadlines,Usually work best under last-minute pressure,Can commit up to 15 hours per week if needed,Flexible and willing to adapt based on team needs,I have experience leading teams and organizing tasks,Like using Discord or Slack for team discussions,Hoping to gain leadership and organizational experience,Organized and great at planning ahead,"Need to improve on giving clear, concise updates to team"
Student 97,student97@example.com,Tue,,,,Mon,"Thu, Mon, Tue","Mon, Wed",Tue,Prefer working remotely with flexible hours,Like to plan out tasks a week ahead,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer hands-on work rather than managing logistics,Have collaborated on technical projects but not much leadership,Flexible with any communication method,Hoping to gain leadership and organizational experience,Organized and great at planning ahead,Tend to take on too many responsibilities at once
Student 98,student98@example.com,"Mon, Fri","Wed, Mon","Thu, Tue, Fri",,"Thu, Fri, Wed",,,"Mon, Tue",Would like a mix of remote and in-person meetings,Like to plan out tasks a week ahead,Can commit up to 15 hours per week if needed,Enjoy problem-solving and brainstorming solutions,This is my first time working in a structured team,Enjoy regular video calls for better coordination,Hope to develop problem-solving skills,Good at motivating teammates and keeping up morale,"Need to improve on giving clear, concise updates to team"
Student 99,student99@example.com,,Mon,Thu,"Thu, Tue",Mon,"Fri, Wed, Thu",,Thu,"No strong preference, just want a productive team",Prefer starting well in advance to stay on top of tasks,Around 5-10 hours per week depending on workload,Like taking initiative and leading discussions,I have experience leading teams and organizing tasks,Enjoy regular video calls for better coordination,Looking to build a strong portfolio from this project,Good at debugging and troubleshooting technical issues,Sometimes struggle with public speaking
Student 100,student100@example.com,"Wed, Thu",,Thu,,,"Fri, Thu, Wed",Mon,"Fri, Mon",Prefer working remotely with flexible hours,Like to plan out tasks a week ahead,Around 5-10 hours per week depending on workload,Enjoy problem-solving and brainstorming solutions,I have experience leading teams and organizing tasks,Prefer structured emails over informal chats,Hoping to gain leadership and organizational experience,Quick learner and adaptable to new challenges,Tend to take on too many responsibilities at once
